Batalhas,WinRate_Bloco,Epsilon,Reward,Ghost_Battles
500,62.0,0.393,176599,0
1000,51.4,0.385,218038,0
1500,51.0,0.378,249945,0
2000,56.6,0.370,352154,0
2500,50.6,0.362,375926,0
3000,55.2,0.355,468879,0
3500,54.8,0.347,555178,0
4000,52.6,0.340,606442,0
4500,53.8,0.332,676605,0
5000,57.4,0.325,794408,0
5500,54.2,0.317,868581,0
6000,55.4,0.310,965219,0
6500,54.2,0.302,1041599,0
7000,58.0,0.295,1160877,0
7500,52.8,0.287,1221340,0
8000,52.2,0.280,1268300,0
8500,56.2,0.272,1370313,0
9000,54.6,0.265,1449808,0
9500,52.6,0.257,1507704,0
10000,55.8,0.250,1597468,0
