Batalhas,WinRate_Bloco,Epsilon,Reward,Ghost_Battles
500,50.4,0.092,34779,0
1000,47.4,0.085,31148,0
1500,54.0,0.077,112633,0
2000,50.6,0.070,157720,0
2500,48.2,0.062,163371,0
3000,50.0,0.055,190595,0
3500,49.8,0.047,228738,0
4000,49.6,0.040,244487,0
4500,50.4,0.032,287865,0
5000,55.4,0.030,389026,0
5500,54.2,0.030,472651,0
6000,51.8,0.030,545676,0
6500,52.6,0.030,606264,0
7000,50.2,0.030,643868,0
7500,51.4,0.030,708536,0
8000,50.2,0.030,740912,0
8500,53.2,0.030,816382,0
9000,48.6,0.030,841485,0
9500,44.6,0.030,811116,0
10000,49.0,0.030,836314,0
