Batalhas,WinRate_Bloco,Epsilon,Reward,Ghost_Battles
500,59.6,0.050,164861,0
1000,55.4,0.050,275173,0
1500,60.2,0.050,445341,0
2000,61.0,0.050,619949,0
2500,59.0,0.050,773754,0
3000,57.8,0.050,901549,0
3500,55.4,0.050,1008275,0
4000,60.4,0.050,1173879,0
4500,57.2,0.050,1292920,0
5000,63.4,0.050,1496891,0
5500,59.8,0.050,1661265,0
6000,62.2,0.050,1853644,0
6500,62.6,0.050,2043271,0
7000,57.6,0.050,2171635,0
7500,57.4,0.050,2303091,0
8000,62.8,0.050,2498449,0
8500,64.8,0.050,2723724,0
9000,64.8,0.050,2951694,0
9500,59.0,0.050,3106496,0
10000,57.2,0.050,3232955,0
