Batalhas,WinRate_Bloco,Epsilon,Reward,Ghost_Battles
500,54.4,0.092,78513,0
1000,56.8,0.085,192653,0
1500,58.8,0.077,332750,0
2000,53.4,0.070,401231,0
2500,57.0,0.062,520079,0
3000,55.6,0.055,615405,0
3500,61.6,0.050,796995,0
4000,57.8,0.050,930184,0
4500,58.6,0.050,1072169,0
5000,59.6,0.050,1224439,0
5500,60.8,0.050,1395225,0
6000,57.8,0.050,1527427,0
6500,58.2,0.050,1662497,0
7000,57.8,0.050,1792629,0
7500,56.8,0.050,1914255,0
8000,57.0,0.050,2031282,0
8500,58.6,0.050,2174676,0
9000,58.0,0.050,2309194,0
9500,61.6,0.050,2485839,0
10000,56.8,0.050,2606161,0
