Batalhas,WinRate_Bloco,Epsilon,Reward,Ghost_Battles
500,48.2,0.242,9648,0
1000,50.2,0.235,27458,0
1500,46.8,0.227,13748,0
2000,44.2,0.220,-45756,0
2500,47.8,0.212,-37896,0
3000,46.6,0.205,-50438,0
3500,48.0,0.197,-65219,0
4000,53.6,0.190,-2102,0
4500,47.8,0.182,-7502,0
5000,49.2,0.175,2499,0
5500,49.6,0.167,20187,0
6000,49.6,0.160,33166,0
6500,49.4,0.152,47702,0
7000,45.6,0.145,9164,0
7500,45.6,0.137,-27311,0
8000,48.4,0.130,-21674,0
8500,45.2,0.122,-56141,0
9000,48.8,0.115,-41025,0
9500,46.8,0.107,-65049,0
10000,52.0,0.100,-14563,0
