Batalhas,WinRate_Bloco,Vitorias,Derrotas,Estados_Q,Epsilon,Visitas_Est,Confianca,Reward,Ghost_Battles,Latencia_ms,Margem_Media,Duracao_Media,Auto_Ties,Tamanho_KB,Tempo_s
1000,62.50,625,375,409190,0.0500,11.27,42.66,-238,14,0.39,3.39,37.5,1,155228,102
2000,65.90,659,341,410442,0.0500,11.35,42.73,-200,15,0.40,3.43,40.5,2,155720,211
3000,63.80,638,362,411800,0.0500,11.41,42.78,-210,17,0.47,3.42,36.8,0,156253,312
4000,66.30,663,337,413115,0.0500,11.48,42.84,-197,12,0.37,3.47,38.7,1,156769,419
5000,67.70,677,323,414439,0.0500,11.54,42.88,-175,11,0.49,3.45,36.8,0,157289,554
6000,66.80,668,332,415695,0.0500,11.60,42.92,-175,14,0.58,3.51,38.4,1,157783,707
7000,68.90,689,311,417055,0.0500,11.67,42.98,-160,17,0.46,3.57,40.7,3,158316,880
8000,64.20,642,358,418432,0.0500,11.74,43.03,-211,20,0.46,3.42,40.7,3,158857,1048
9000,64.50,645,355,419809,0.0500,11.81,43.08,-209,19,0.43,3.43,42.9,3,159398,1231
10000,68.30,683,317,420941,0.0500,11.89,43.14,-164,18,0.45,3.57,40.9,2,159842,1488
