Batalhas,WinRate_Bloco,Vitorias,Derrotas,Estados_Q,Epsilon,Visitas_Est,Confianca,Reward,Ghost_Battles,Latencia_ms,Margem_Media,Duracao_Media,Auto_Ties,Tamanho_KB,Tempo_s
1000,63.20,632,368,342663,0.1870,8.55,40.00,-261,16,0.37,3.22,38.1,2,129111,98
2000,60.50,605,395,344579,0.1839,8.62,40.08,-278,15,0.50,3.21,34.2,0,129862,218
3000,60.80,608,392,346602,0.1809,8.68,40.16,-264,15,0.49,3.29,34.2,0,130656,333
4000,63.30,633,367,348685,0.1779,8.75,40.24,-284,20,0.48,3.19,39.2,1,131474,467
5000,62.10,621,379,350815,0.1749,8.81,40.33,-277,12,0.48,3.16,37.0,1,132310,596
6000,62.60,626,374,352832,0.1719,8.88,40.39,-265,16,0.49,3.21,37.7,0,133102,725
7000,62.60,626,374,354842,0.1689,8.96,40.47,-268,14,0.48,3.17,39.5,3,133891,886
8000,61.00,610,390,356661,0.1656,9.03,40.53,-249,20,0.49,3.32,36.9,2,134605,1028
9000,59.70,597,403,358686,0.1626,9.09,40.60,-289,11,0.50,3.21,36.6,1,135400,1197
10000,63.50,635,365,360402,0.1591,9.15,40.68,-249,11,0.49,3.26,35.1,0,136073,1310
